sex,length (mm),diameter (mm),height (mm),whole_weight (g),shucked_weight (g),viscera_weight (g),shell_weight (g),rings
M,91.0,73.0,19.0,102.8,44.9,20.2,30.0,15
M,70.0,53.0,18.0,45.1,19.9,9.7,14.0,7
F,106.0,84.0,27.0,135.4,51.3,28.3,42.0,9
M,88.0,73.0,25.0,103.2,43.1,22.8,31.0,10
I,66.0,51.0,16.0,41.0,17.9,7.9,11.0,7
I,85.0,60.0,19.0,70.3,28.2,15.5,24.0,8
F,106.0,83.0,30.0,155.5,47.4,28.3,66.0,20
F,109.0,85.0,25.0,153.6,58.8,29.9,52.0,16
M,95.0,74.0,25.0,101.9,43.3,22.5,33.0,9
F,110.0,88.0,30.0,178.9,62.9,30.2,64.0,19
F,105.0,76.0,28.0,121.3,38.8,29.5,42.0,14
M,86.0,70.0,22.0,81.2,33.5,16.2,27.0,10
M,98.0,76.0,27.0,108.3,43.5,19.0,38.0,11
F,107.0,81.0,29.0,136.9,54.5,34.2,41.0,10
F,94.0,71.0,20.0,95.1,33.5,16.1,37.0,10
M,100.0,80.0,26.0,132.9,51.6,26.6,48.0,12
I,71.0,56.0,17.0,58.1,19.0,7.9,23.0,7
F,88.0,68.0,20.0,90.2,37.6,17.4,26.0,10
M,73.0,59.0,16.0,51.1,19.4,8.6,20.0,7
M,90.0,64.0,20.0,76.2,34.1,15.0,23.0,9
M,71.0,56.0,19.0,49.1,19.1,12.4,15.0,11
I,76.0,55.0,20.0,45.1,16.0,9.8,17.0,10
F,113.0,88.0,31.0,187.9,85.5,42.8,54.0,12
F,110.0,83.0,27.0,152.7,63.6,42.0,40.0,9
F,123.0,96.0,33.0,232.3,102.6,60.2,61.0,10
F,112.0,88.0,28.0,185.7,76.5,37.6,60.0,11
F,116.0,90.0,37.0,199.1,78.9,54.4,57.0,11
M,118.0,89.0,28.0,186.2,71.2,46.8,56.0,12
M,121.0,95.0,36.0,187.3,78.8,43.8,59.0,15
M,115.0,85.0,28.0,172.7,78.6,45.4,40.0,11
M,116.0,94.0,33.0,199.5,78.7,48.4,66.0,10
F,136.0,112.0,33.0,327.8,121.1,56.1,92.0,15
M,133.0,105.0,33.0,267.6,110.3,71.5,70.0,18
F,136.0,110.0,35.0,359.6,163.0,78.5,91.0,19
F,141.0,110.0,40.0,341.9,126.6,82.3,98.0,13
M,93.0,71.0,21.0,95.9,45.4,24.8,25.0,8
F,108.0,95.0,31.0,243.4,106.1,61.5,68.0,16
F,90.0,71.0,21.0,104.5,47.4,23.3,29.0,8
F,115.0,89.0,27.0,176.6,76.2,40.7,52.0,11
M,71.0,58.0,18.0,65.5,26.8,17.2,18.0,9
F,90.0,67.0,21.0,85.0,37.3,18.2,23.0,9
F,110.0,85.0,27.0,170.3,72.4,39.2,54.0,14
I,48.0,35.0,9.0,14.0,6.3,4.7,4.0,5
I,41.0,30.0,11.0,8.4,5.1,3.0,2.4,5
I,42.0,30.0,10.0,8.4,3.5,2.5,3.0,4
I,78.0,59.0,19.0,40.6,17.5,9.0,15.0,7
M,94.0,74.0,24.0,115.9,58.6,45.4,28.0,9
F,92.0,75.0,24.0,92.1,35.5,22.0,30.0,7
I,65.0,49.0,14.0,32.2,15.1,5.1,9.0,6
F,105.0,85.0,32.0,167.1,70.9,42.7,49.0,9
I,104.0,82.0,24.0,119.0,47.7,22.2,38.0,8
M,80.0,64.0,19.0,60.6,26.7,12.0,20.0,7
M,97.0,72.0,26.0,108.3,51.9,19.2,32.0,10
F,94.0,72.0,24.0,95.5,42.1,21.1,30.0,10
M,81.0,62.0,20.0,77.0,34.6,18.3,22.0,7
F,100.0,80.0,28.0,132.3,51.3,35.1,44.0,8
M,89.0,70.0,24.0,88.5,38.4,19.1,27.0,8
M,94.0,77.0,27.0,117.9,55.3,24.0,34.0,8
I,49.0,38.0,12.0,17.2,8.4,2.8,5.0,4
F,101.0,80.0,25.0,116.6,49.2,26.0,35.0,7
M,90.0,69.0,21.0,82.3,36.0,22.5,27.0,7
M,101.0,81.0,22.0,125.0,61.0,32.0,35.0,9
F,106.0,82.0,26.0,139.3,60.4,38.7,40.0,10
M,85.0,65.0,19.0,75.7,34.1,16.0,20.0,7
M,104.0,80.0,24.0,116.0,46.8,26.3,37.0,8
M,95.0,71.0,24.0,96.0,46.8,20.3,27.0,8
F,113.0,88.0,32.0,183.0,70.8,38.7,64.0,12
F,119.0,99.0,37.0,257.0,83.2,44.8,97.0,13
F,95.0,78.0,24.0,106.1,42.7,23.1,34.0,10
I,62.0,47.0,14.0,30.2,12.6,8.1,9.0,6
M,111.0,85.0,26.0,153.3,52.8,33.6,55.0,13
F,80.0,64.0,22.0,70.6,28.1,19.7,20.0,8
F,119.0,95.0,34.0,249.4,96.0,45.0,85.0,20
M,114.0,96.0,35.0,237.0,94.8,52.2,76.0,11
F,121.0,90.0,39.0,219.6,96.2,57.9,63.0,13
F,120.0,95.0,30.0,201.5,88.5,44.2,56.0,15
M,119.0,95.0,28.0,188.8,72.5,37.8,63.0,9
F,120.0,94.0,30.0,184.4,72.6,38.8,61.0,10
F,111.0,85.0,28.0,157.6,56.4,31.9,57.0,11
F,123.0,95.0,34.0,220.5,93.9,47.1,69.0,14
F,115.0,89.0,28.0,188.2,76.9,50.4,57.0,9
M,124.0,102.0,35.0,323.0,102.1,38.4,135.0,12
F,104.0,85.0,33.0,197.7,79.2,45.0,64.0,16
M,119.0,95.0,32.0,263.5,81.6,46.8,116.0,21
M,116.0,90.0,28.0,202.6,76.0,43.2,72.0,14
F,114.0,93.0,36.0,259.0,67.8,44.5,88.0,12
M,125.0,93.0,28.0,239.0,96.5,41.0,80.0,13
M,112.0,88.0,32.0,172.9,66.1,41.5,52.0,10
F,92.0,71.0,26.0,103.4,44.1,22.8,33.0,9
F,115.0,90.0,32.0,195.5,62.7,46.2,66.0,12
M,113.0,85.0,27.0,162.3,68.2,33.5,51.0,15
M,111.0,88.0,30.0,151.0,61.4,30.5,52.0,12
M,119.0,93.0,35.0,223.0,80.3,50.8,78.0,13
F,125.0,99.0,33.0,252.4,101.4,63.6,78.0,10
M,139.0,112.0,38.0,298.8,117.6,68.5,97.0,15
M,133.0,107.0,39.0,321.2,115.1,77.6,96.0,14
M,107.0,87.0,30.0,145.0,53.8,27.7,50.0,9
M,94.0,75.0,26.0,104.6,42.8,26.4,29.0,8
M,94.0,74.0,26.0,104.5,40.2,26.6,33.0,7
F,95.0,75.0,25.0,115.7,55.5,17.0,31.0,10
I,72.0,53.0,19.0,46.3,21.0,9.2,15.0,7
M,110.0,87.0,29.0,168.6,65.6,38.3,51.0,15
M,106.0,87.0,32.0,176.6,63.2,32.8,67.0,15
M,106.0,83.0,28.0,144.8,62.1,33.5,41.0,10
M,121.0,94.0,32.0,234.7,99.5,48.1,69.0,12
F,104.0,82.0,31.0,145.4,58.2,36.7,47.0,12
F,109.0,86.0,33.0,160.4,58.7,36.6,56.0,11
F,100.0,80.0,25.0,133.5,52.2,26.3,44.0,10
F,102.0,78.0,27.0,126.7,46.2,35.8,40.0,9
F,87.0,79.0,21.0,72.7,27.2,19.6,26.0,9
M,99.0,79.0,25.0,108.3,47.5,26.9,31.0,9
M,93.0,72.0,21.0,86.2,34.4,21.4,35.0,9
I,87.0,64.0,16.0,66.5,29.7,12.7,21.0,9
M,85.0,70.0,21.0,78.6,26.0,12.6,33.0,9
F,109.0,82.0,25.0,138.7,59.5,29.2,42.0,11
F,106.0,83.0,23.0,118.3,46.6,31.7,36.0,11
F,98.0,75.0,27.0,122.5,51.1,20.4,44.0,11
M,88.0,68.0,21.0,80.4,26.1,19.1,33.0,10
F,112.0,86.0,30.0,176.5,69.3,34.4,62.0,9
M,81.0,61.0,17.0,52.1,22.9,11.9,17.0,8
F,94.0,73.0,21.0,84.1,32.6,20.7,28.0,9
I,77.0,59.0,17.0,50.7,20.6,11.5,17.0,7
F,103.0,85.0,28.0,153.2,60.8,34.5,51.0,14
M,74.0,53.0,15.0,42.8,18.0,10.2,14.0,6
I,72.0,56.0,16.0,35.1,16.2,10.1,14.0,6
I,54.0,39.0,12.0,14.6,5.7,4.7,6.0,5
I,75.0,55.0,18.0,47.6,21.5,10.9,14.0,6
I,77.0,58.0,17.0,50.1,22.4,12.2,16.0,8
M,140.0,107.0,32.0,345.1,126.0,52.7,108.0,19
M,142.0,108.0,33.0,391.8,153.3,52.2,156.0,18
M,119.0,96.0,33.0,252.4,96.7,56.6,82.0,17
F,88.0,70.0,25.0,80.7,35.0,12.6,25.8,9
F,65.0,52.0,18.0,38.3,17.0,7.2,12.4,7
I,70.0,52.0,19.0,42.2,17.2,11.2,13.6,7
I,53.0,40.0,13.0,19.5,8.0,4.1,5.6,7
F,85.0,66.0,23.0,81.2,32.7,16.2,27.1,8
F,61.0,46.0,16.0,31.2,13.5,6.9,9.6,7
M,69.0,51.0,18.0,40.1,18.8,5.9,12.6,9
F,81.0,65.0,22.0,71.1,30.2,12.6,23.4,9
M,75.0,57.0,19.0,50.6,19.2,11.5,18.5,9
F,113.0,89.0,31.0,165.2,68.2,41.1,49.5,10
F,110.0,90.0,29.0,148.2,59.0,28.7,53.3,10
M,130.0,104.0,38.0,268.9,103.8,61.2,89.3,16
M,112.0,91.0,31.0,159.4,68.0,38.0,48.5,11
M,95.0,75.0,26.0,103.5,41.5,23.3,34.0,10
F,98.0,76.0,25.0,109.8,49.0,21.5,34.8,10
M,92.0,70.0,24.0,103.0,44.8,21.6,31.3,10
I,56.0,41.0,16.0,25.4,10.4,7.8,8.4,9
I,35.0,26.0,11.0,6.3,2.1,1.3,2.5,5
I,34.0,26.0,19.0,6.0,2.6,1.6,2.0,4
M,118.0,95.0,29.0,210.6,88.3,52.4,65.0,15
F,121.0,100.0,37.0,223.7,93.8,51.7,67.0,9
F,127.0,103.0,38.0,274.3,101.3,61.0,90.0,10
F,121.0,97.0,32.0,211.3,74.0,47.1,71.0,10
F,113.0,90.0,27.0,197.7,77.4,29.9,62.0,12
M,103.0,81.0,26.0,144.4,64.0,26.2,42.0,10
F,115.0,92.0,38.0,198.8,78.4,48.5,68.0,13
M,129.0,97.0,43.0,302.8,109.2,52.3,127.0,16
F,116.0,91.0,34.0,181.5,74.8,42.7,57.0,13
F,115.0,92.0,33.0,224.8,59.7,35.7,88.0,13
M,121.0,93.0,33.0,211.2,84.3,49.5,68.0,13
F,121.0,97.0,32.0,244.4,106.0,51.5,56.0,13
M,122.0,97.0,35.0,248.9,108.8,59.4,69.0,12
F,145.0,112.0,42.0,428.2,130.0,79.6,201.0,18
F,130.0,109.0,46.0,350.4,112.1,57.9,163.0,16
M,145.0,114.0,38.0,510.0,214.1,96.6,145.0,14
F,145.0,115.0,35.0,424.8,153.0,90.3,170.0,20
F,136.0,114.0,41.0,368.4,125.0,81.6,130.0,20
M,141.0,112.0,44.0,396.2,163.5,61.7,152.0,14
F,136.0,103.0,35.0,323.7,102.5,81.8,124.0,12
M,139.0,110.0,43.0,391.3,142.5,108.2,118.0,14
F,106.0,79.0,29.0,155.0,61.6,33.8,51.0,7
M,105.0,87.0,31.0,213.0,97.2,46.6,57.0,8
F,104.0,81.0,23.0,155.2,64.0,36.9,44.0,8
I,47.0,32.0,8.0,9.6,3.7,3.6,3.0,5
