Date,EcoliAve_CFU,Lake_Temp_C,Lake_Turb_NTRU,WaveHt_Ft,LL_PreDay,AirportRain48W_in
5/25/2005,8,13.3,58,1,-0.099,0
5/26/2005,150,14.4,11.5,1,-0.256,0
5/31/2005,5,17.8,3.2,0,0.027,0.1
6/1/2005,1,17.8,3.5,0.5,0.045,0
6/2/2005,6,17.2,8.4,1,-0.062,0
6/6/2005,31,18.3,7.1,0.33,0.184,0.1
6/7/2005,2,20,9.3,0.5,-0.328,0.1
6/8/2005,5,20,3,0,0.108,0
6/9/2005,9,23.3,1.9,0,0.026,0
6/13/2005,43,24.4,2.9,0,0.079,0.1
6/14/2005,8,21.7,5.2,1,-0.069,0.3
6/15/2005,210,21.1,18.5,1,-0.148,1.1
6/16/2005,550,20,54.5,1.5,0.184,1.3
6/20/2005,82,22.2,32.5,0.5,-0.217,0
6/21/2005,15,21.7,26,0.5,-0.029,0
6/22/2005,155,22.8,23,0.5,0.029,0.2
6/23/2005,42,22.8,25.5,0.5,0.027,0.1
6/27/2005,73,24.4,9.8,0,-0.075,0
6/28/2005,7,23.9,4.2,0,0.049,0
6/29/2005,73,24.4,7,0.5,0.072,0.3
6/30/2005,17,24.4,3.6,0,-0.144,0.3
7/5/2005,27,24.4,6.2,1,0.069,0
7/6/2005,165,23.3,16,1.5,0.036,0
7/7/2005,40,24.4,12,1,-0.099,0
7/11/2005,3,24.4,3.8,0.5,0.004,0
7/12/2005,26,24.4,3,0.5,-0.073,0
7/13/2005,26,25.6,4.7,0.5,-0.009,0
7/14/2005,200,24.4,4.4,0.5,0.006,0.1
7/18/2005,20,25,4.4,0.5,-0.014,0.2
7/19/2005,490,24.4,4.3,0.5,0.05,0.4
7/20/2005,6,26.1,1.7,0.5,0.013,0.2
7/21/2005,440,23.9,6.1,0.5,-0.138,1.5
7/25/2005,205,25.6,8.3,0.5,-0.053,0.5
7/26/2005,12,25.6,2.3,0.5,-0.236,0.3
7/27/2005,850,24.4,62.5,5,0.857,2.9
7/28/2005,200,22.2,14.7,2,-0.584,1.9
8/1/2005,7,26.1,4.7,0,-0.003,0
