STOP_ID,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
279772561,2024-01-01,01:58:00,2024,January,Monday,Based on Self Initiated,PO,046,SGT,046,Y,O,P,PSB,1,CPW,1,N,ARREST,N,Y,CPW,N,(null),Y,(null),(null),(null),Y,Y,N,N,N,Y,(null),(null),Y,(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,Y,(null),(null),NERVOUS,27,MALE,WHITE HISPANIC,5.11,160,THN,BRO,BLK,(null),046,A,(null),1775 CLAY AVE,CLAY AVE,1010576,247603,PBBX,BRONX
279772564,2024-01-01,00:48:00,2024,January,Monday,Based on Self Initiated,PO,120,SGT,067,Y,O,(null),(null),1,CPW,3,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,Y,N,N,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),#N/A,22,MALE,BLACK,6.1,200,MED,BRO,BLK,BLACK HOODIE SWEATSHIRT,067,D,(null),4515 FARRAGUT RD,FARRAGUT RD,1002798,171482,PBBS,BROOKLYN
279772565,2024-01-01,01:10:00,2024,January,Monday,Based on Radio Run,PO,871,SGT,871,Y,S,T,Transit,0,GRAND LARCENY,20,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),NORMAL,17,MALE,WHITE HISPANIC,6.0,140,THN,BRO,BLK,SCAR ON LIP,068,D,(null),&&,,977764,170616,PBBS,BROOKLYN
279772566,2024-01-01,01:10:00,2024,January,Monday,Based on Radio Run,PO,871,SGT,871,Y,S,T,Transit,0,GRAND LARCENY,20,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),NORMAL,13,MALE,WHITE HISPANIC,5.0,120,THN,BRO,BLK,RED JACKET/ RED HAT,068,D,(null),&&,,977764,170616,PBBS,BROOKLYN
279772567,2024-01-01,01:10:00,2024,January,Monday,Based on Radio Run,PO,871,SGT,871,Y,S,T,Transit,0,GRAND LARCENY,20,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),NORMAL,14,MALE,WHITE HISPANIC,5.0,120,THN,BRO,BLK,BLACK JACKET,068,D,(null),&&,,977764,170616,PBBS,BROOKLYN
279772568,2024-01-01,01:10:00,2024,January,Monday,Based on Radio Run,PO,871,SGT,871,Y,S,T,Transit,0,GRAND LARCENY,20,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),NORMAL,17,MALE,WHITE HISPANIC,5.5,130,THN,BRO,BLK,BLACK HAT/ BLACK JACKET,068,D,(null),&&,,977764,170616,PBBS,BROOKLYN
279794959,2024-01-01,00:44:00,2024,January,Monday,Based on Self Initiated,PO,044,SGT,044,Y,(null),(null),(null),1,CPW,9,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,Y,N,N,N,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),Y,(null),Y,(null),(null),(null),CALM,20,MALE,BLACK,5.8,140,THN,BRO,BLK,(null),044,A,(null),CONCOURSE VLG W && E 156 ST,CONCOURSE VLG W,1005541,239355,PBBX,BRONX
279794960,2024-01-01,00:44:00,2024,January,Monday,Based on Self Initiated,PO,044,SGT,044,Y,(null),(null),(null),2,MENACING,9,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),#N/A,(null),MALE,BLACK,6.2,270,HEA,BRO,BLK,(null),044,A,(null),CONCOURSE VLG W && E 158 ST,CONCOURSE VLG W,1005761,239846,PBBX,BRONX
279794965,2024-01-01,23:15:00,2024,January,Monday,Based on Radio Run,PO,070,SGT,070,Y,O,P,PSB,1,CPW,5,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),IRATIC,35,MALE,BLACK,5.8,160,THN,BRO,BLK,(null),070,B,(null),FLATBUSH AVE && E 31 ST,FLATBUSH AVE,999031,169520,PBBS,BROOKLYN
279808662,2024-01-01,23:35:00,2024,January,Monday,Based on Self Initiated,PO,044,SGT,044,Y,O,(null),(null),2,CPW,26,N,ARREST,Y,Y,CPW,N,(null),Y,(null),(null),(null),Y,Y,N,N,N,Y,(null),(null),Y,(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),#N/A,20,MALE,BLACK HISPANIC,5.8,140,THN,BRO,BLK,(null),044,E,(null),E 170 ST && MORRIS AVE,E 170 ST,1008782,244577,PBBX,BRONX
